Feature,ANOVA F-value,ANOVA p-value,Mutual Information
ANK2,61.96667671336572,7.41359930483924e-20,0.36183835351943383
CBX5,61.60584001132204,8.956435919275502e-20,0.325982608969678
RPL3,61.04469860341825,1.2030250370405397e-19,0.39551122190136856
MCM7,60.66256436508848,1.4718252761655311e-19,0.4154941366634981
SDF2L1,60.573133730892884,1.543087245653773e-19,0.33154717791168054
YBX1,60.342886084457184,1.743105142827469e-19,0.4132452529670372
ACSL4,59.95293751197772,2.1438200687322642e-19,0.3593137197283962
HMGA1,59.60120105042558,2.585129082009383e-19,0.3312005551961523
NQO2,59.42646411353683,2.837599305767742e-19,0.2864160294985676
GMPPA,58.913525210965595,3.7330891158807047e-19,0.3085163768550738
SCLY,58.65479356468852,4.2887934363665744e-19,0.37613569790808854
ATP5PF,58.33924304980328,5.081637344252882e-19,0.4258760361622862
TSG101,57.81921334991991,6.726860269336748e-19,0.4450475574227386
OSBPL8,57.711602374352,7.129867173178654e-19,0.480666863671221
PARP1,57.03189824880962,1.0308369608859147e-18,0.31608645084451803
MAN2B1,56.825549003400894,1.1533711809027257e-18,0.4231159606988697
HK2,56.817849584623126,1.1582191182093496e-18,0.425072671880774
IGLV7-46,55.77067062103642,2.0539954041850487e-18,0.3656284882978287
PPP4C,55.64771528275894,2.1976146092432778e-18,0.4064736656900729
HDLBP,55.557225330363636,2.309787726547685e-18,0.38222292905597377
CCDC50,55.244250851773025,2.744558886462257e-18,0.3012008778325621
COL4A1,54.9105219687552,3.3002723377507995e-18,0.40923065989052976
AOX1,54.81324679000612,3.4828244806662226e-18,0.2844577553607821
CD3E,54.78356128329863,3.540549847219956e-18,0.4230232367153868
DPP4,54.761891843592956,3.583299660539197e-18,0.3631913904889412
OMD,54.68803468083456,3.732981257624003e-18,0.3190994442610591
GPLD1,54.63587073835589,3.842507925561976e-18,0.41060545121381575
MAOB,54.397688321339096,4.385583738368723e-18,0.3836330504910941
BTF3,54.36483409891737,4.466378401656636e-18,0.34280989235182147
NXN,54.31845441787468,4.5830130793117226e-18,0.28284510082185865
NCF2,54.14159341469558,5.0568786573092215e-18,0.3549357644112012
THEM4,53.83661536678114,5.993961000450674e-18,0.4296784550620736
IGKV4-1,53.610583178268634,6.800687639480617e-18,0.39481401309971886
NAPG,53.404113522014214,7.63369349785359e-18,0.34439586413505396
ALDH1L2,53.29533479016473,8.11348488617367e-18,0.3906163596971495
S100A8,53.11157183443338,8.994613414829349e-18,0.3906717204808392
MANF,53.005880760117314,9.544773389471827e-18,0.475786006528071
RPL23A,52.829681123478046,1.0538996679672343e-17,0.31102283952485754
CST6,52.65896875802582,1.1602528372273297e-17,0.3676429623717179
POGLUT1,52.609164489847416,1.1932874045867901e-17,0.3947691026761069
SEC63,52.59007792707095,1.2061988473281657e-17,0.2816656085785503
TXN2,52.36120736257375,1.3725293667913858e-17,0.32046148908700456
PLA2G2A,52.275863299637635,1.440353967592779e-17,0.3968153069147735
SUPT16H,52.114868918420825,1.577704229806059e-17,0.34104120255283
PPP1CB,52.07439401723484,1.6142790947033275e-17,0.4187805291724691
KYNU,52.03644325664677,1.6493544684368173e-17,0.39332846274825406
PLCG2,51.61532452315497,2.0946048677716613e-17,0.4063862600018413
POLDIP2,50.74207825951543,3.4473878686417596e-17,0.39223302134599125
FUCA1,50.53133318639324,3.890008588079417e-17,0.35475407804276693
RPS27,50.52937408769114,3.894383106893979e-17,0.2442011381459721
HLA-C,50.44243206413959,4.093629584420338e-17,0.3665745308234476
SF3A3,50.43073924185296,4.1212042044876134e-17,0.33385451394134025
LSP1,50.20100620596569,4.7029056018747355e-17,0.3915801317315457
ARHGEF7,50.19829057589332,4.710258675108381e-17,0.3133225458961888
HLA-H,50.17321601815515,4.7787063001192824e-17,0.32924203735025825
SMTN,49.429031942508935,7.342997463464238e-17,0.27834872734990035
OFD1,49.02805551161615,9.265882942159758e-17,0.3231346105858546
SPON1,48.80690728123725,1.0537712641346483e-16,0.3104599197670559
SSR1,48.79023686975847,1.0640484279063395e-16,0.2830060629553799
HAL,48.69668328455267,1.123639998981594e-16,0.4801482108916266
LUC7L2,47.90321792589146,1.7869503372249307e-16,0.38110572499788464
RPL17,47.76677372414863,1.9359708308145284e-16,0.27076459036014744
ACE,47.76054297641536,1.9430693970852295e-16,0.40872408647496217
MRRF,47.6429976904389,2.0820486966486252e-16,0.29655044127070007
M6PR,47.640213705335015,2.0854599039985854e-16,0.47331667181278103
CD38,47.26738952997486,2.5975680614946805e-16,0.39994098459087346
LTBP2,47.1952288949153,2.7105698612940043e-16,0.3586863737543269
RPL32,47.145331098363435,2.791614368518929e-16,0.2899057514002812
UBXN1,47.06991196574199,2.9188042309749375e-16,0.4782138337522359
MRPL40,47.03556237736929,2.978666667889885e-16,0.37618930471235656
MPO,46.88850208277549,3.24937248387653e-16,0.33580098162908745
AP3M1,46.80011392069015,3.4239575367322675e-16,0.37692209189790415
TAPBP,46.738808514966344,3.550612154376646e-16,0.4706938338575668
RER1,46.71026421191992,3.6111956536337213e-16,0.28072872325552356
LY75,46.70619699693263,3.619913036982893e-16,0.3350069032514371
IGLV9-49,46.54261708418794,3.988808145468662e-16,0.3410918799098168
ASPRV1,46.44352852528828,4.230598167226906e-16,0.21329417569047826
RPL11,46.30953920077402,4.581395963270403e-16,0.28721343058872106
HLA-DQA1,46.27182789546291,4.685351775830785e-16,0.2965894636584401
HMOX2,46.19837736347482,4.894751110504425e-16,0.43928302746177783
MRPL38,46.19585984763633,4.90209425635694e-16,0.33283507569499027
F5,45.83028726346177,6.096400622464325e-16,0.4064763921576653
TRIM26,45.78776098256431,6.253289560650445e-16,0.34321512294741185
NCKAP1L,45.607044765978785,6.967038246702494e-16,0.4253493576664291
ADPRH,45.50276208272098,7.415984463591707e-16,0.5011573115683232
PSMB10,45.19755979825932,8.906060757393128e-16,0.3580801823077455
PIGR,45.087193847545485,9.51684481610909e-16,0.4131881586321262
F10,44.995051365988154,1.0059241575304593e-15,0.39415808606887515
DCTN6,44.97958720251581,1.0153299072090625e-15,0.3163491957136466
NAMPT,44.96431438987289,1.024706871285318e-15,0.27894389386119567
NPM3,44.843770229088776,1.1018692990440978e-15,0.41340836349786647
DDX21,44.81351846329615,1.122143112934781e-15,0.3082143393041923
CCDC22,44.76890791115583,1.152732639641369e-15,0.4043327038441926
GPC1,44.69423959768915,1.2058388536089105e-15,0.22163436524190594
MYG1,44.681358494579975,1.2152482835134897e-15,0.36529317069078115
NPLOC4,44.664397527269195,1.227751732456194e-15,0.288297332649744
SYNPO2,44.65169070528082,1.2372045384898903e-15,0.317417330175227
ESAM,44.55399300557781,1.312394500743675e-15,0.3203299137614739
SERPINB4,44.45671819291494,1.3918694292698956e-15,0.3996804834730914
SELENOH,44.31113998628618,1.5200338251571494e-15,0.29974357324489453
VAMP5,43.42500804361141,2.6048590270494887e-15,0.35715259084678386
PPME1,43.3222305708861,2.77355563560408e-15,0.17581900173416787
ANG,43.274086718027064,2.8563501577259423e-15,0.2802267091710944
PTGDS,43.20399228056121,2.981400344913679e-15,0.37574882226298434
PRG3,43.07290231975198,3.230382130180043e-15,0.33116805836882657
MOB4,42.899633391003924,3.5921838159556474e-15,0.24114341460074384
GBP2,42.898502678282675,3.594675209917098e-15,0.42638050721108445
FOLR3,42.893807316312916,3.6050396657318e-15,0.40951314044329545
IGHV1-18,42.874326618113976,3.648365914274001e-15,0.33746639072898654
TMOD3,42.52435976947537,4.523363917091071e-15,0.3612472335859238
GSTA3,42.30948430283269,5.163354863738476e-15,0.31150188488484676
MFAP4,42.12646259500064,5.780576973409622e-15,0.3644828167054843
ALB,42.02384211991548,6.1589007073454095e-15,0.24072933152462261
MSR1,41.822081814448325,6.977636883369954e-15,0.4024344890096896
SACM1L,41.80181919994074,7.065739872689443e-15,0.4105826641347079
FGL2,41.73059613701968,7.384478636501909e-15,0.2537861938522581
CELF2,41.64441884025258,7.789723215992718e-15,0.2553256831650059
MSRB3,41.36030856825808,9.292758075755025e-15,0.3315081840934415
DSC1,41.27500878381914,9.799146694591264e-15,0.3697364941379071
AZU1,41.26380389437459,9.867714650992631e-15,0.301756400107031
TERF2IP,41.13025544566517,1.0723446349580714e-14,0.3086937080196255
CEACAM1,40.94048716995174,1.2070708886518658e-14,0.4156135894696895
BCKDHA,40.695806080447085,1.4064895441725388e-14,0.38023318754381474
TAP2,40.655737277928395,1.4421982956674812e-14,0.27503266937601256
ACSL3,40.56490340893088,1.526593620841199e-14,0.24647283138453235
EXOC8,40.547991951929404,1.5428513585208873e-14,0.17098258045371018
PIP4K2A,40.335950992057384,1.762257082205663e-14,0.39142034935032477
CARM1,40.332285879196284,1.7663159034922667e-14,0.3400694225933689
IL16,39.95801120938311,2.2349845978355847e-14,0.20780709175971013
TXNDC5,39.884479139228034,2.3409716874533726e-14,0.28365201353557046
SEC24B,39.88332587370882,2.3426739854575115e-14,0.2889371591939778
PALLD,39.62834231955245,2.751653665659e-14,0.2586723248584184
FERMT3,39.45068096254327,3.0788062367908945e-14,0.29270333124902526
ARHGAP17,39.3068460978885,3.372413264111628e-14,0.19040811730520502
PPM1G,39.28282650261495,3.424143726333311e-14,0.3331884000250076
MRPS23,39.27306820597045,3.445389292502611e-14,0.3155947124802254
ACTBL2,39.216745914731796,3.570653983194629e-14,0.24358281539313875
TRNT1,39.0439149147186,3.984658818305413e-14,0.3486884232635554
CPN1,39.033955647172064,4.009949484988033e-14,0.269250875476851
VCAN,38.86374938019476,4.46825908496406e-14,0.26085427079653134
MRPL41,38.7857287973019,4.695776045094216e-14,0.33104934339794356
TEX10,38.73979235290237,4.835195277991287e-14,0.2174557549340692
PDLIM3,38.68001899276334,5.022920784963099e-14,0.2009615844332242
RHOC,38.65158961120798,5.114785543548629e-14,0.2718758664539991
VWA8,38.43672165868485,5.866577086276708e-14,0.2737346303263142
STX3,38.04918052992922,7.518107147153088e-14,0.2771197072795031
SH3KBP1,37.89069184213246,8.3229374295363e-14,0.2715145804562462
RFTN1,37.8280978501614,8.664404715323041e-14,0.34082874781503847
ITGA7,37.78146045172051,8.928038830317519e-14,0.21860326028746146
TPK1,37.71268933046933,9.33172232927864e-14,0.26660815533695525
GMDS,37.47296556290258,1.0889485913154148e-13,0.21266552579981224
GOLGA3,37.380645238153726,1.1557609929487174e-13,0.21077800816124226
HSPB6,37.301363230374584,1.2164506635756264e-13,0.3243958719806286
UPK3A,36.99579483509616,1.4822330224151086e-13,0.14051027918623382
FABP3,36.951644409681045,1.5252366292147554e-13,0.21338553110006786
CCNA2,36.871800898708464,1.60624837067104e-13,0.14742533374323408
PLEKHO2,36.83580590328087,1.6441849701043488e-13,0.19916676509698372
HK3,36.69733035911301,1.798807655122345e-13,0.3728894942052061
SGCD,36.580997554426524,1.940068299814898e-13,0.38691232049290636
HELZ2,36.49220115128894,2.0554285033705859e-13,0.2545646738871856
AFG3L2,36.406024054117616,2.1740431358191693e-13,0.3170814389915273
RBM12,36.40424769310027,2.1765598720159993e-13,0.3126544132625857
XRN2,36.16192967584525,2.54913545454835e-13,0.18293598988411408
ASPN,36.04155591356506,2.7576621455328087e-13,0.2482725440430784
SPINT1,35.994607709324946,2.843611329310007e-13,0.3617190994759689
METAP2,35.95571920835992,2.916860918344694e-13,0.28131403575371183
LTF,35.88912639204062,3.046769873947556e-13,0.3147287490202946
VWA1,35.83259083462564,3.1616595120262407e-13,0.24284904263270057
KPNA1,35.77443095833553,3.2844415794779223e-13,0.23169689945514915
ARFIP1,35.74953945666536,3.338458562148409e-13,0.3683764608914144
LYZ,35.741034823193644,3.3571203457707643e-13,0.19709404148230192
THBS1,35.605128285452665,3.670125141519097e-13,0.31301444006423207
SUPT6H,35.58630886910268,3.715743464550879e-13,0.257974223978084
TNFAIP8L2,35.51076634449463,3.9047248679686046e-13,0.31020288091895853
DPM1,35.39497125689546,4.2135264095293897e-13,0.3917797596745425
PRPF40A,35.276258786974175,4.555879842561768e-13,0.3076884711671848
PDIA4,35.18800691671417,4.82857325700597e-13,0.3335702114642698
SEC23B,35.16330506677306,4.907827037562784e-13,0.3054939379903243
DPM3,35.15755571141614,4.926461950610063e-13,0.23170549228365123
TRIM29,35.08604397630476,5.16433809971776e-13,0.2142083985800527
EIF4G3,35.01370047431056,5.416850670415184e-13,0.27492081781309374
CARD16,34.86242860057146,5.986120299554186e-13,0.30229882110573847
JPH2,34.82322473077202,6.143319481299568e-13,0.27168897008386095
IGHV3-15,34.81563367163491,6.174238792956844e-13,0.23182503117569775
ABI3BP,34.75539967039369,6.425244732424577e-13,0.29987776931184884
TIMM8B,34.685817051558175,6.728133129060868e-13,0.3296377832740267
CKMT1A,34.598984367530186,7.126525915959593e-13,0.37896888615313284
IMPA2,34.58266061277174,7.204052374768056e-13,0.21895787977741943
PTGIS,34.46895589668868,7.768352352489063e-13,0.26021390596368055
MFGE8,34.45007210572837,7.866323684613601e-13,0.18965037715274358
NFU1,34.4216435262261,8.016184562184759e-13,0.25273578105757477
RAB27A,34.406450374739556,8.097459630800546e-13,0.3698389428386557
SERPINB13,34.16613675034927,9.50018362050214e-13,0.3407603749144652
SMU1,33.953209039408726,1.0948253965756315e-12,0.3389236053485789
